requestMonth,kaptCode,heat,hheat,waterHot,hwaterHot,gas,hgas,elect,helect,waterCool,hwaterCool
199904,A13176801,0,0,0,0,0,0,0,0,0,0
199905,A13176801,0,0,0,0,0,0,0,0,0,0
199906,A13176801,0,0,0,0,0,0,0,0,0,0
199907,A13176801,0,0,0,0,0,0,0,0,0,0
199908,A13176801,0,0,0,0,0,0,0,0,0,0
199909,A13176801,0,0,0,0,0,0,0,0,0,0
199910,A13176801,0,0,0,0,0,0,0,0,0,0
199911,A13176801,0,0,0,0,0,0,0,0,0,0
199912,A13176801,0,0,0,0,0,0,0,0,0,0
200001,A13176801,0,0,0,0,0,0,0,0,0,0
200002,A13176801,0,0,0,0,0,0,0,0,0,0
200003,A13176801,0,0,0,0,0,0,0,0,0,0
200004,A13176801,0,0,0,0,0,0,0,0,0,0
200005,A13176801,0,0,0,0,0,0,0,0,0,0
200006,A13176801,0,0,0,0,0,0,0,0,0,0
200007,A13176801,0,0,0,0,0,0,0,0,0,0
200008,A13176801,0,0,0,0,0,0,0,0,0,0
200009,A13176801,0,0,0,0,0,0,0,0,0,0
200010,A13176801,0,0,0,0,0,0,0,0,0,0
200011,A13176801,0,0,0,0,0,0,0,0,0,0
200012,A13176801,0,0,0,0,0,0,0,0,0,0
200101,A13176801,0,0,0,0,0,0,0,0,0,0
200102,A13176801,0,0,0,0,0,0,0,0,0,0
200103,A13176801,0,0,0,0,0,0,0,0,0,0
200104,A13176801,0,0,0,0,0,0,0,0,0,0
200105,A13176801,0,0,0,0,0,0,0,0,0,0
200106,A13176801,0,0,0,0,0,0,0,0,0,0
200107,A13176801,0,0,0,0,0,0,0,0,0,0
200108,A13176801,0,0,0,0,0,0,0,0,0,0
200109,A13176801,0,0,0,0,0,0,0,0,0,0
200110,A13176801,0,0,0,0,0,0,0,0,0,0
200111,A13176801,0,0,0,0,0,0,0,0,0,0
200112,A13176801,0,0,0,0,0,0,0,0,0,0
200201,A13176801,0,0,0,0,0,0,0,0,0,0
200202,A13176801,0,0,0,0,0,0,0,0,0,0
200203,A13176801,0,0,0,0,0,0,0,0,0,0
200204,A13176801,0,0,0,0,0,0,0,0,0,0
200205,A13176801,0,0,0,0,0,0,0,0,0,0
200206,A13176801,0,0,0,0,0,0,0,0,0,0
200207,A13176801,0,0,0,0,0,0,0,0,0,0
200208,A13176801,0,0,0,0,0,0,0,0,0,0
200209,A13176801,0,0,0,0,0,0,0,0,0,0
200210,A13176801,0,0,0,0,0,0,0,0,0,0
200211,A13176801,0,0,0,0,0,0,0,0,0,0
200212,A13176801,0,0,0,0,0,0,0,0,0,0
200301,A13176801,0,0,0,0,0,0,0,0,0,0
200302,A13176801,0,0,0,0,0,0,0,0,0,0
200303,A13176801,0,0,0,0,0,0,0,0,0,0
200304,A13176801,0,0,0,0,0,0,0,0,0,0
200305,A13176801,0,0,0,0,0,0,0,0,0,0
200306,A13176801,0,0,0,0,0,0,0,0,0,0
200307,A13176801,0,0,0,0,0,0,0,0,0,0
200308,A13176801,0,0,0,0,0,0,0,0,0,0
200309,A13176801,0,0,0,0,0,0,0,0,0,0
200310,A13176801,0,0,0,0,0,0,0,0,0,0
200311,A13176801,0,0,0,0,0,0,0,0,0,0
200312,A13176801,0,0,0,0,0,0,0,0,0,0
200401,A13176801,0,0,0,0,0,0,0,0,0,0
200402,A13176801,0,0,0,0,0,0,0,0,0,0
200403,A13176801,0,0,0,0,0,0,0,0,0,0
200404,A13176801,0,0,0,0,0,0,0,0,0,0
200405,A13176801,0,0,0,0,0,0,0,0,0,0
200406,A13176801,0,0,0,0,0,0,0,0,0,0
200407,A13176801,0,0,0,0,0,0,0,0,0,0
200408,A13176801,0,0,0,0,0,0,0,0,0,0
200409,A13176801,0,0,0,0,0,0,0,0,0,0
200410,A13176801,0,0,0,0,0,0,0,0,0,0
200411,A13176801,0,0,0,0,0,0,0,0,0,0
200412,A13176801,0,0,0,0,0,0,0,0,0,0
200501,A13176801,0,0,0,0,0,0,0,0,0,0
200502,A13176801,0,0,0,0,0,0,0,0,0,0
200503,A13176801,0,0,0,0,0,0,0,0,0,0
200504,A13176801,0,0,0,0,0,0,0,0,0,0
200505,A13176801,0,0,0,0,0,0,0,0,0,0
200506,A13176801,0,0,0,0,0,0,0,0,0,0
200507,A13176801,0,0,0,0,0,0,0,0,0,0
200508,A13176801,0,0,0,0,0,0,0,0,0,0
200509,A13176801,0,0,0,0,0,0,0,0,0,0
200510,A13176801,0,0,0,0,0,0,0,0,0,0
200511,A13176801,0,0,0,0,0,0,0,0,0,0
200512,A13176801,0,0,0,0,0,0,0,0,0,0
200601,A13176801,0,0,0,0,0,0,0,0,0,0
200602,A13176801,0,0,0,0,0,0,0,0,0,0
200603,A13176801,0,0,0,0,0,0,0,0,0,0
200604,A13176801,0,0,0,0,0,0,0,0,0,0
200605,A13176801,0,0,0,0,0,0,0,0,0,0
200606,A13176801,0,0,0,0,0,0,0,0,0,0
200607,A13176801,0,0,0,0,0,0,0,0,0,0
200608,A13176801,0,0,0,0,0,0,0,0,0,0
200609,A13176801,0,0,0,0,0,0,0,0,0,0
200610,A13176801,0,0,0,0,0,0,0,0,0,0
200611,A13176801,0,0,0,0,0,0,0,0,0,0
200612,A13176801,0,0,0,0,0,0,0,0,0,0
200701,A13176801,0,0,0,0,0,0,0,0,0,0
200702,A13176801,0,0,0,0,0,0,0,0,0,0
200703,A13176801,0,0,0,0,0,0,0,0,0,0
200704,A13176801,0,0,0,0,0,0,0,0,0,0
200705,A13176801,0,0,0,0,0,0,0,0,0,0
200706,A13176801,0,0,0,0,0,0,0,0,0,0
200707,A13176801,0,0,0,0,0,0,0,0,0,0
200708,A13176801,0,0,0,0,0,0,0,0,0,0
200709,A13176801,0,0,0,0,0,0,0,0,0,0
200710,A13176801,0,0,0,0,0,0,0,0,0,0
200711,A13176801,0,0,0,0,0,0,0,0,0,0
200712,A13176801,0,0,0,0,0,0,0,0,0,0
200801,A13176801,0,0,0,0,0,0,0,0,0,0
200802,A13176801,0,0,0,0,0,0,0,0,0,0
200803,A13176801,0,0,0,0,0,0,0,0,0,0
200804,A13176801,0,0,0,0,0,0,0,0,0,0
200805,A13176801,0,0,0,0,0,0,0,0,0,0
200806,A13176801,0,0,0,0,0,0,0,0,0,0
200807,A13176801,0,0,0,0,0,0,0,0,0,0
200808,A13176801,0,0,0,0,0,0,0,0,0,0
200809,A13176801,0,0,0,0,0,0,0,0,0,0
200810,A13176801,0,0,0,0,0,0,0,0,0,0
200811,A13176801,0,0,0,0,0,0,0,0,0,0
200812,A13176801,0,0,0,0,0,0,0,0,0,0
200901,A13176801,0,0,0,0,0,0,0,0,0,0
200902,A13176801,0,0,0,0,0,0,0,0,0,0
200903,A13176801,0,0,0,0,0,0,0,0,0,0
200904,A13176801,0,0,0,0,0,0,0,0,0,0
200905,A13176801,0,0,0,0,0,0,0,0,0,0
200906,A13176801,0,0,0,0,0,0,0,0,0,0
200907,A13176801,0,0,0,0,0,0,0,0,0,0
200908,A13176801,0,0,0,0,0,0,0,0,0,0
200909,A13176801,0,0,0,0,0,0,0,0,0,0
200910,A13176801,0,0,0,0,0,0,0,0,0,0
200911,A13176801,0,0,0,0,0,0,0,0,0,0
200912,A13176801,0,0,0,0,0,0,10373010,0,0,0
201001,A13176801,0,0,0,0,0,0,11850630,0,0,0
201002,A13176801,0,0,0,0,0,0,11644310,0,0,0
201003,A13176801,0,0,0,0,0,0,9613800,0,0,0
201004,A13176801,0,0,0,0,0,0,10048090,0,0,0
201005,A13176801,0,0,0,0,0,0,9316860,0,0,0
201006,A13176801,0,0,0,0,0,0,10091190,0,0,0
201007,A13176801,0,0,0,0,0,0,10915560,0,0,0
201008,A13176801,0,0,0,0,0,0,14952560,0,0,0
201009,A13176801,0,0,0,0,0,0,12899090,0,0,0
201010,A13176801,0,0,0,0,0,0,9622790,0,0,0
201011,A13176801,0,0,0,0,0,0,10354740,0,0,0
201012,A13176801,0,0,0,0,0,0,10668900,0,0,0
201101,A13176801,0,0,0,0,0,0,12336760,0,0,0
201102,A13176801,0,0,0,0,0,0,12146450,0,0,0
201103,A13176801,0,0,0,0,0,0,9335790,0,0,0
201104,A13176801,0,0,0,0,0,0,10308010,0,0,0
201105,A13176801,0,0,0,0,0,0,10019380,0,4424700,0
201106,A13176801,0,0,0,0,0,0,9426660,0,0,0
201107,A13176801,0,0,0,0,0,0,10165240,0,0,0
201108,A13176801,0,0,0,0,0,0,13210480,0,0,0
201109,A13176801,0,0,0,0,0,0,11639240,0,0,0
201110,A13176801,0,0,0,0,0,0,9011190,0,0,0
201111,A13176801,0,0,0,0,0,0,9986690,0,6642,0
201112,A13176801,0,0,0,0,0,0,10357460,0,0,0
201201,A13176801,0,0,0,0,0,0,11993020,0,0,0
201202,A13176801,0,0,0,0,0,0,12415090,0,0,0
201203,A13176801,0,0,0,0,0,0,10012770,0,4445600,0
201204,A13176801,0,0,0,0,0,0,10204750,0,0,0
201205,A13176801,0,0,0,0,0,0,9000260,0,0,0
201206,A13176801,0,0,0,0,0,0,9381370,0,0,0
201207,A13176801,0,0,0,0,0,0,10231140,0,0,0
201208,A13176801,0,0,0,0,0,0,16256650,0,0,0
201209,A13176801,0,0,0,0,0,0,10856610,0,0,0
201210,A13176801,0,0,0,0,0,0,9192680,0,0,0
201211,A13176801,0,0,0,0,0,0,10340620,0,0,0
201212,A13176801,0,0,0,0,0,0,11375220,0,0,0
201301,A13176801,0,0,0,0,0,0,12838070,0,0,0
201302,A13176801,0,0,0,0,0,0,12715780,0,0,0
201303,A13176801,0,0,0,0,0,0,9697010,0,0,0
201304,A13176801,0,0,0,0,0,0,10466170,0,0,0
201305,A13176801,0,0,0,0,0,0,9328800,0,0,0
201306,A13176801,0,0,0,0,0,0,9832050,0,0,0
201307,A13176801,0,0,0,0,0,0,10638290,0,5257280,0
201308,A13176801,0,0,0,0,0,0,14361890,0,0,0
201309,A13176801,0,0,0,0,0,0,11832320,0,0,0
201310,A13176801,0,0,0,0,0,0,8888590,0,0,0
201311,A13176801,0,0,0,0,0,0,9774760,0,4841440,0
201312,A13176801,0,0,0,0,0,0,11006260,0,0,0
201401,A13176801,0,0,0,0,0,0,12009800,51176,4603800,6430
201402,A13176801,0,0,0,0,0,0,12138360,52170,0,0
201403,A13176801,0,0,0,0,0,0,9658720,46490,5018630,6252
201404,A13176801,0,0,0,0,0,0,10057560,48904,0,0
201405,A13176801,0,0,0,0,0,0,9088160,45938,4887450,6273
201406,A13176801,0,0,0,0,0,0,10054570,48319,0,0
201407,A13176801,0,0,0,0,0,0,10798660,48687,5674890,6861
201408,A13176801,0,0,0,0,0,0,12497930,71200,0,0
